Time=0 | wr_en=1 rd_en=0 | wr_bank=0 rd_bank=1 | write_counter= 94 read_counter=  0 | write_addr= 61 read_addr=  0 | data_in=   61 data_out=    x
Time=0 | wr_en=1 rd_en=0 | wr_bank=0 rd_bank=1 | write_counter= 95 read_counter=  0 | write_addr=125 read_addr=  0 | data_in=  125 data_out=    x
Time=0 | wr_en=1 rd_en=0 | wr_bank=0 rd_bank=1 | write_counter= 96 read_counter=  0 | write_addr=  3 read_addr=  0 | data_in=    3 data_out=    x
Time=0 | wr_en=1 rd_en=0 | wr_bank=0 rd_bank=1 | write_counter= 97 read_counter=  0 | write_addr= 67 read_addr=  0 | data_in=   67 data_out=    x
Time=0 | wr_en=1 rd_en=0 | wr_bank=0 rd_bank=1 | write_counter= 98 read_counter=  0 | write_addr= 35 read_addr=  0 | data_in=   35 data_out=    x
Time=0 | wr_en=1 rd_en=0 | wr_bank=0 rd_bank=1 | write_counter= 99 read_counter=  0 | write_addr= 99 read_addr=  0 | data_in=   99 data_out=    x
Time=0 | wr_en=1 rd_en=0 | wr_bank=0 rd_bank=1 | write_counter=100 read_counter=  0 | write_addr= 19 read_addr=  0 | data_in=   19 data_out=    x
Time=0 | wr_en=1 rd_en=0 | wr_bank=0 rd_bank=1 | write_counter=101 read_counter=  0 | write_addr= 83 read_addr=  0 | data_in=   83 data_out=    x
Time=0 | wr_en=1 rd_en=0 | wr_bank=0 rd_bank=1 | write_counter=102 read_counter=  0 | write_addr= 51 read_addr=  0 | data_in=   51 data_out=    x
Time=0 | wr_en=1 rd_en=0 | wr_bank=0 rd_bank=1 | write_counter=103 read_counter=  0 | write_addr=115 read_addr=  0 | data_in=  115 data_out=    x
Time=0 | wr_en=1 rd_en=0 | wr_bank=0 rd_bank=1 | write_counter=104 read_counter=  0 | write_addr= 11 read_addr=  0 | data_in=   11 data_out=    x
Time=0 | wr_en=1 rd_en=0 | wr_bank=0 rd_bank=1 | write_counter=105 read_counter=  0 | write_addr= 75 read_addr=  0 | data_in=   75 data_out=    x
Time=0 | wr_en=1 rd_en=0 | wr_bank=0 rd_bank=1 | write_counter=106 read_counter=  0 | write_addr= 43 read_addr=  0 | data_in=   43 data_out=    x
Time=0 | wr_en=1 rd_en=0 | wr_bank=0 rd_bank=1 | write_counter=107 read_counter=  0 | write_addr=107 read_addr=  0 | data_in=  107 data_out=    x
Time=0 | wr_en=1 rd_en=0 | wr_bank=0 rd_bank=1 | write_counter=108 read_counter=  0 | write_addr= 27 read_addr=  0 | data_in=   27 data_out=    x
Time=0 | wr_en=1 rd_en=0 | wr_bank=0 rd_bank=1 | write_counter=109 read_counter=  0 | write_addr= 91 read_addr=  0 | data_in=   91 data_out=    x
Time=0 | wr_en=1 rd_en=0 | wr_bank=0 rd_bank=1 | write_counter=110 read_counter=  0 | write_addr= 59 read_addr=  0 | data_in=   59 data_out=    x
Time=0 | wr_en=1 rd_en=0 | wr_bank=0 rd_bank=1 | write_counter=111 read_counter=  0 | write_addr=123 read_addr=  0 | data_in=  123 data_out=    x
Time=0 | wr_en=1 rd_en=0 | wr_bank=0 rd_bank=1 | write_counter=112 read_counter=  0 | write_addr=  7 read_addr=  0 | data_in=    7 data_out=    x
Time=0 | wr_en=1 rd_en=0 | wr_bank=0 rd_bank=1 | write_counter=113 read_counter=  0 | write_addr= 71 read_addr=  0 | data_in=   71 data_out=    x
Time=0 | wr_en=1 rd_en=0 | wr_bank=0 rd_bank=1 | write_counter=114 read_counter=  0 | write_addr= 39 read_addr=  0 | data_in=   39 data_out=    x
Time=0 | wr_en=1 rd_en=0 | wr_bank=0 rd_bank=1 | write_counter=115 read_counter=  0 | write_addr=103 read_addr=  0 | data_in=  103 data_out=    x
Time=0 | wr_en=1 rd_en=0 | wr_bank=0 rd_bank=1 | write_counter=116 read_counter=  0 | write_addr= 23 read_addr=  0 | data_in=   23 data_out=    x
Time=0 | wr_en=1 rd_en=0 | wr_bank=0 rd_bank=1 | write_counter=117 read_counter=  0 | write_addr= 87 read_addr=  0 | data_in=   87 data_out=    x
Time=0 | wr_en=1 rd_en=0 | wr_bank=0 rd_bank=1 | write_counter=118 read_counter=  0 | write_addr= 55 read_addr=  0 | data_in=   55 data_out=    x
Time=0 | wr_en=1 rd_en=0 | wr_bank=0 rd_bank=1 | write_counter=119 read_counter=  0 | write_addr=119 read_addr=  0 | data_in=  119 data_out=    x
Time=0 | wr_en=1 rd_en=0 | wr_bank=0 rd_bank=1 | write_counter=120 read_counter=  0 | write_addr= 15 read_addr=  0 | data_in=   15 data_out=    x
Time=0 | wr_en=1 rd_en=0 | wr_bank=0 rd_bank=1 | write_counter=121 read_counter=  0 | write_addr= 79 read_addr=  0 | data_in=   79 data_out=    x
Time=0 | wr_en=1 rd_en=0 | wr_bank=0 rd_bank=1 | write_counter=122 read_counter=  0 | write_addr= 47 read_addr=  0 | data_in=   47 data_out=    x
Time=0 | wr_en=1 rd_en=0 | wr_bank=0 rd_bank=1 | write_counter=123 read_counter=  0 | write_addr=111 read_addr=  0 | data_in=  111 data_out=    x
Time=0 | wr_en=1 rd_en=0 | wr_bank=0 rd_bank=1 | write_counter=124 read_counter=  0 | write_addr= 31 read_addr=  0 | data_in=   31 data_out=    x
Time=0 | wr_en=1 rd_en=0 | wr_bank=0 rd_bank=1 | write_counter=125 read_counter=  0 | write_addr= 95 read_addr=  0 | data_in=   95 data_out=    x
Time=0 | wr_en=1 rd_en=0 | wr_bank=0 rd_bank=1 | write_counter=126 read_counter=  0 | write_addr= 63 read_addr=  0 | data_in=   63 data_out=    x
Time=0 | wr_en=1 rd_en=0 | wr_bank=0 rd_bank=1 | write_counter=127 read_counter=  0 | write_addr=127 read_addr=  0 | data_in=  127 data_out=    x
Time=0 | wr_en=0 rd_en=0 | wr_bank=1 rd_bank=0 | write_counter=  0 read_counter=  0 | write_addr=  0 read_addr=  0 | data_in=  127 data_out=    0
Time=0 | wr_en=0 rd_en=0 | wr_bank=1 rd_bank=0 | write_counter=  1 read_counter=  0 | write_addr= 64 read_addr=  0 | data_in=  127 data_out=    0
Time=0 | wr_en=1 rd_en=1 | wr_bank=1 rd_bank=0 | write_counter=  1 read_counter=  0 | write_addr= 64 read_addr=  0 | data_in=  128 data_out=    0
Time=0 | wr_en=1 rd_en=1 | wr_bank=1 rd_bank=0 | write_counter=  2 read_counter=  0 | write_addr= 32 read_addr=  0 | data_in=  192 data_out=    0
Time=0 | wr_en=1 rd_en=1 | wr_bank=1 rd_bank=0 | write_counter=  3 read_counter=  1 | write_addr= 96 read_addr=  1 | data_in=  160 data_out=    1
Time=0 | wr_en=1 rd_en=1 | wr_bank=1 rd_bank=0 | write_counter=  4 read_counter=  2 | write_addr= 16 read_addr=  2 | data_in=  224 data_out=    2
Time=0 | wr_en=1 rd_en=1 | wr_bank=1 rd_bank=0 | write_counter=  5 read_counter=  3 | write_addr= 80 read_addr=  3 | data_in=  144 data_out=    3
Time=0 | wr_en=1 rd_en=1 | wr_bank=1 rd_bank=0 | write_counter=  6 read_counter=  4 | write_addr= 48 read_addr=  4 | data_in=  208 data_out=    4
Time=0 | wr_en=1 rd_en=1 | wr_bank=1 rd_bank=0 | write_counter=  7 read_counter=  5 | write_addr=112 read_addr=  5 | data_in=  176 data_out=    5
Time=0 | wr_en=1 rd_en=1 | wr_bank=1 rd_bank=0 | write_counter=  8 read_counter=  6 | write_addr=  8 read_addr=  6 | data_in=  240 data_out=    6
Time=0 | wr_en=1 rd_en=1 | wr_bank=1 rd_bank=0 | write_counter=  9 read_counter=  7 | write_addr= 72 read_addr=  7 | data_in=  136 data_out=    7
Time=0 | wr_en=1 rd_en=1 | wr_bank=1 rd_bank=0 | write_counter= 10 read_counter=  8 | write_addr= 40 read_addr=  8 | data_in=  200 data_out=    8
Time=0 | wr_en=1 rd_en=1 | wr_bank=1 rd_bank=0 | write_counter= 11 read_counter=  9 | write_addr=104 read_addr=  9 | data_in=  168 data_out=    9
Time=0 | wr_en=1 rd_en=1 | wr_bank=1 rd_bank=0 | write_counter= 12 read_counter= 10 | write_addr= 24 read_addr= 10 | data_in=  232 data_out=   10
Time=0 | wr_en=1 rd_en=1 | wr_bank=1 rd_bank=0 | write_counter= 13 read_counter= 11 | write_addr= 88 read_addr= 11 | data_in=  152 data_out=   11
